doc_type,naive_z_score,naive_contiguity,naive_n_qualifying,corrected_z_score_mean,corrected_z_score_hdi_3,corrected_z_score_hdi_97,corrected_contiguity_mean,corrected_contiguity_hdi_3,corrected_contiguity_hdi_97,corrected_n_qualifying_mean,credible,low_support
D.1,-281.1839061142295,0.08657792310205369,2818,-266.408014177621,-274.58384639389743,-255.20296595637416,0.09782587787809728,0.080380159226368,0.14755127580824762,2653.06,True,False
DM.1,-247.73786248281263,0.12806279881997895,2298,-232.08568079318644,-241.85383887916356,-220.255845549208,0.21271885064603407,0.1415118410662623,0.30926974916145333,2218.435,True,False
Testimonial labour (Qualification & Employment Proof),-237.00524211849313,0.11060857408496431,2366,-225.20911828437184,-231.5127580337135,-217.37812540369956,0.18993603343156282,0.141956348608753,0.26043117809274535,2301.08,True,False
Judicial and political background check,-227.91560490739968,0.03609234862984113,1667,-217.1438534636384,-224.5657435184411,-206.65725218234104,0.059475280896501934,0.037127729066991425,0.12626851819360715,1549.665,True,False
Testimonial medical letter (Medical & Health Documents),-213.79426830332326,0.25304874639621944,2054,-207.73440591128673,-212.15311153343666,-201.94442152460778,0.2708848150571994,0.2518045279004802,0.3113805976608979,1965.225,True,False
D.2,-184.55714400380703,0.1400008058741192,1102,-176.14267695261282,-184.58819294734,-165.69945376994687,0.21445900319837427,0.14625084809265887,0.3370193464025799,1069.72,True,False
NAMA agreement,-155.10246710892997,0.1736991496077296,628,-162.17143470687807,-172.4011965463554,-151.24972728693353,0.306958607093367,0.1649577373008247,0.4493902118852825,860.02,True,False
Registration card,-146.2360429385075,0.45011600928074247,862,-149.43161063924913,-159.91171924486025,-140.09392074990552,0.4379748478960235,0.3807448000291928,0.5571138408675295,923.35,True,False
Report of selection and medical officers,-101.62975777227099,0.1936193619361936,303,-143.90815387393133,-167.26160273641176,-118.34559902054184,0.30441975133170246,0.10393919729706176,0.5104566436080386,768.91,True,False
Approval notice,-71.90399625919432,0.618380062305296,214,-75.04336591695123,-97.2483150638435,-58.06658675928924,0.5691163316609024,0.43820858507447796,0.752322877484255,240.22,True,False
Testimonial medical form (Medical & Health Documents),-53.123161158850614,0.4427284427284427,111,-58.5929936320742,-77.8187101475923,-50.04840776136241,0.5474925026070242,0.4309497597204019,0.7514427803379415,148.9,True,False
