pdf_name	page_num	n_annotators	document_type	document_type_agreement	layout_type	layout_type_agreement	functional_category	functional_category_agreement	start_page	start_page_agreement	pdf_id	img_path	text_path	markdown_path	pagexml_path	split
a2478-d0000707-1214053	1	1	NAA cover	single	Cover	single	Other	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0001.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0001.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0001.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0001.xml	train
a2478-d0000707-1214053	2	1	Photo	single	Photo	single	Other	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0002.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0002.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0002.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0002.xml	train
a2478-d0000707-1214053	3	1	Photo	single	Photo	single	Other	single	no	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0003.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0003.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0003.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0003.xml	train
a2478-d0000707-1214053	4	1	D.1	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0004.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0004.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0004.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0004.xml	train
a2478-d0000707-1214053	5	1	D.1	single	Structured Form	single	Application Documents	single	no	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0005.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0005.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0005.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0005.xml	train
a2478-d0000707-1214053	6	1	Testimonial medical letter (Medical & Health Documents)	single	Letter	single	Medical & Health Documents	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0006.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0006.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0006.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0006.xml	train
a2478-d0000707-1214053	7	1	Other (Structured Form, Administrative & Internal Processing Documents)	single	Structured Form	single	Administrative & Internal Processing Documents	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0007.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0007.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0007.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0007.xml	train
a2478-d0000707-1214053	8	1	Other (Structured Form, Administrative & Internal Processing Documents)	single	Structured Form	single	Administrative & Internal Processing Documents	single	no	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0008.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0008.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0008.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0008.xml	train
a2478-d0000707-1214053	9	1	Testimonial medical letter (Medical & Health Documents)	single	Letter	single	Medical & Health Documents	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0009.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0009.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0009.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0009.xml	train
a2478-d0000707-1214053	10	1	Other (Structured Form, Medical & Health Documents)	single	Structured Form	single	Medical & Health Documents	single	yes	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0010.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0010.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0010.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0010.xml	train
